fish_key,fish_label,year,month,qty,amt,price
とびうお類,ﾄﾋﾞｳｵ類,2005,3,0.0,0,
とらふぐ,ﾄﾗﾌｸﾞ,2005,3,10459.26,59439879,5682.990861686199
とりがい,ﾄﾘｶﾞｲ,2005,3,0.0,0,
なめらばちめきじはた,ﾅﾒﾗﾊﾞﾁﾒ(ｷｼﾞﾊﾀ),2005,3,2276.68,4562628,2004.0708399950806
にぎす,にぎす,2005,3,1328628.14,478329936,360.0179174287247
のどぐろあかむつ,ﾉﾄﾞｸﾞﾛ(ｱｶﾑﾂ),2005,3,22285.48,67226427,3016.60215530471
のり,ﾉﾘ,2005,3,248.0,1426400,5751.612903225807
のろげんげ,ﾉﾛｹﾞﾝｹﾞ,2005,3,88196.28,20610732,233.69162508894934
はたはた,はたはた,2005,3,6877652.7700000005,1596625635,232.14688039564984
ばい類,ﾊﾞｲ類,2005,3,46285.8,48153424,1040.3498265126668
ばばがれい,ﾊﾞﾊﾞｶﾞﾚｲ,2005,3,10736.7,4944082,460.4843201356096
ひらまさ,ひらまさ,2005,3,3925.0,5798750,1477.3885350318471
ひらめ,ひらめ,2005,3,228630.6,487561536,2132.529661383909
ひれぐろ,ﾋﾚｸﾞﾛ,2005,3,168645.0,60110145,356.4300453615583
ふくらぎぶり,ﾌｸﾗｷﾞ(ﾌﾞﾘ),2005,3,1954082.5499999998,852109720,436.06638829050496
ぶり,ぶり,2005,3,48012.8,43949600,915.3725673153825
べにずわい,ﾍﾞﾆｽﾞﾜｲ,2005,3,447234.0,74286600,166.10230885844993
ほうぼう,ほうぼう,2005,3,98622.0,42433710,430.2661677921762
ほたるいか,ﾎﾀﾙｲｶ,2005,3,94812.0,30178200,318.2951525123402
ほっけ,ﾎｯｹ,2005,3,550063.4,60622204,110.20948494300838
ぼたんえびとやまえび,ﾎﾞﾀﾝｴﾋﾞ(ﾄﾔﾏｴﾋﾞ),2005,3,25255.3,20586335,815.1292995925608
まあじ,まあじ,2005,3,9913866.8,1803898120,181.9570664395047
まいわし,まいわし,2005,3,244750.5,210569475,860.3433905140132
まがき,ﾏｶﾞｷ,2005,3,5416.92,1636650,302.13663853259783
まがれい,ﾏｶﾞﾚｲ,2005,3,165186.0,91624100,554.6723087913019
まこがれい,ﾏｺｶﾞﾚｲ,2005,3,284347.5,149500850,525.7681182356096
まさば,ﾏｻﾊﾞ,2005,3,6875663.04,822917824,119.68559529642104
まだい,ﾏﾀﾞｲ,2005,3,200327.64,337901500,1686.7442755278303
まだこ,ﾏﾀﾞｺ,2005,3,329033.7,283177590,860.6340019274621
まだら,まだら,2005,3,587526.0800000001,288382400,490.8418703728011
まとうだい,ﾏﾄｳﾀﾞｲ,2005,3,53262.72,33212424,623.5585415089579
まなまこ,ﾏﾅﾏｺ,2005,3,217872.38,87106822,399.80662991793633
まなまこ科,ﾏﾅﾏｺ科,2005,3,298.08,452320,1517.4449812130972
まるそうだ,ﾏﾙｿｳﾀﾞ,2005,3,4.6000000000000005,1150,249.99999999999997
みずだこ,ﾐｽﾞﾀﾞｺ,2005,3,769882.8,308133270,400.23399665507526
むしがれい,ﾑｼｶﾞﾚｲ,2005,3,105332.0,79372160,753.5427030721908
めじくろまぐろ,ﾒｼﾞ(ｸﾛﾏｸﾞﾛ),2005,3,92840.16,110726520,1192.6575740498508
めじな,ﾒｼﾞﾅ,2005,3,5619.4,2463660,438.4204719365057
めだい,めだい,2005,3,923823.0,365431650,395.56457243432993
めばる,ﾒﾊﾞﾙ,2005,3,117598.0,140710830,1196.5410126022553
やなぎばちめうすめばる,ﾔﾅｷﾞﾊﾞﾁﾒ(ｳｽﾒﾊﾞﾙ),2005,3,98765.16,162982690,1650.2042825627984
やなぎむしがれい,ﾔﾅｷﾞﾑｼｶﾞﾚｲ,2005,3,59341.9,77921829,1313.0996648236744
やりいか,やりいか,2005,3,414459.18,382377915,922.594874120052
わかめ,わかめ,2005,3,82794.6,12812730,154.7532085425861
わかめ乾,ﾜｶﾒ(乾),2005,3,687.1,4521875,6581.101731916751
加能がにずわいがに雄,加能ｶﾞﾆ（ｽﾞﾜｲｶﾞﾆ雄）,2005,3,170802.0,344022300,2014.1584993149963
貝類,貝類,2005,3,15839.349999999999,25453540,1606.9813470881068
香箱がにずわいがに雌,香箱ｶﾞﾆ（ｽﾞﾜｲｶﾞﾆ雌）,2005,3,0.0,0,
あいなめ,ｱｲﾅﾒ,2005,4,40959.270000000004,46462581,1134.3605733207646
あおりいか,あおりいか,2005,4,891.0,1023000,1148.148148148148
あかあまだい,ｱｶｱﾏﾀﾞｲ,2005,4,44036.44,87245900,1981.2205527967292
あかかます,ｱｶｶﾏｽ,2005,4,36599.22,22446790,613.3133438362894
あかがれい,ｱｶｶﾞﾚｲ,2005,4,1943707.26,1276932492,656.9572066114524
あからばちめはつめ,ｱｶﾗﾊﾞﾁﾒ(ﾊﾂﾒ),2005,4,97469.55,65147100,668.384126119388
あまえびほっこくあかえび,ｱﾏｴﾋﾞ(ﾎｯｺｸｱｶｴﾋﾞ),2005,4,972620.16,1056130016,1085.8607084599191
あわび類,ｱﾜﾋﾞ類,2005,4,3199.79,12233245,3823.1399560596165
あんこう,あんこう,2005,4,654327.45,122178699,186.72409204290605
いいだこ,ｲｲﾀﾞｺ,2005,4,84498.7,81373754,963.0178215759532
いか類,ｲｶ類,2005,4,598912.04,207946482,347.2070489683259
いしだい,ｲｼﾀﾞｲ,2005,4,42341.76,70025024,1653.8052268020979
いわがき,ｲﾜｶﾞｷ,2005,4,417120.0,91138352,218.49432297660147
うに類,ｳﾆ類,2005,4,166.21,663300,3990.734612839179
うまづらはぎ,ｳﾏﾂﾞﾗﾊｷﾞ,2005,4,1008937.38,443502279,439.5736423205967
うみたなご,ｳﾐﾀﾅｺﾞ,2005,4,12123.04,6789902,560.0824545658514
うるめいわし,うるめいわし,2005,4,7341743.07,713454075,97.17775032407937
えい類,ｴｲ類,2005,4,153363.0,49809450,324.7814009898085
えぞぼらもとき,ｴｿﾞﾎﾞﾗﾓﾄｷ,2005,4,31509.6,26625264,844.98895574682
