category,fish_key,fish_label,latest_year,latest_price,yoy_price,latest_qty,latest_amt,rank_amt
塩干,たいはくちりめん,たいはくちりめん,2024,2063.2383253814646,0.013361115629218379,177736,366711727,5
塩干,塩さば,塩さば,2024,1112.8165452931028,-0.007943277113679925,296193,329608471,6
塩干,塩かずのこ,塩かずのこ,2024,4970.404326470895,-0.007106899449834225,57414,285370794,7
塩干,その他魚介漬物,その他魚介漬物,2024,1312.57400994181,0.04404513712117075,169788,222859316,8
塩干,その他桜干,その他桜干,2024,1355.1587176120684,0.014409309184938213,149284,202303514,9
塩干,塩かれい,塩かれい,2024,779.8043231585699,0.08439445491406805,141887,110644096,10
塩干,すじこ,すじこ,2024,3967.6644658340624,0.09076665272199747,25142,99755020,11
塩干,開きあじ,開きあじ,2024,929.1053942238052,0.026752269573989018,100793,93647320,12
塩干,身欠にしん,身欠にしん,2024,1025.043837978332,0.03163591758837936,77718,79664357,13
塩干,すだこ,すだこ,2024,2967.6990744434693,-0.06876443745503613,25066,74388345,14
塩干,丸干いわし,丸干いわし,2024,838.3736777811711,0.05580794904744857,72038,60394763,15
塩干,わかめ,わかめ,2024,684.6912419255439,0.1036737613555192,87622,59994016,16
塩干,干はたはた,干はたはた,2024,1297.897063220109,0.30318972900022967,43483,56436458,17
塩干,しおから,しおから,2024,1201.4051240623196,-0.12252910688505847,43325,52050877,18
塩干,魚介つくだに,魚介つくだに,2024,1224.2009521615603,0.14887052012115043,39069,47828307,19
塩干,塩するめ,塩するめ,2024,926.9063035249836,0.041591875389865196,47291,43834326,20
塩干,開きさば,開きさば,2024,1464.1970767464452,-0.01929990820797922,22646,33158207,21
塩干,丸干いか,丸干いか,2024,3396.033156928394,0.042458859155917406,9259,31443871,22
塩干,干ふぐ,干ふぐ,2024,2697.8581443655876,0.13217441048914114,11554,31171053,23
塩干,かまぼこ,かまぼこ,2024,790.7802696533786,-0.20965008631028548,37678,29795019,24
塩干,塩ます,塩ます,2024,968.0318653910583,0.3341461822808367,26863,26004240,25
塩干,干するめ,干するめ,2024,3464.2623134927003,0.05666419785907473,6233,21592747,26
塩干,こんぶ,こんぶ,2024,1611.4931179887024,0.03303914639160843,12569,20254857,27
塩干,塩だら,塩だら,2024,1005.9610594355983,0.15489117536928143,19029,19142433,28
塩干,すき身,すき身,2024,1762.4338087809226,0.07141422650611129,8974,15816081,29
