year,fish_key,fish_label,top_amt_origin_pref,top_amt_amt,top_amt_qty,top_amt_price,top_qty_origin_pref,top_qty_qty,top_qty_amt,top_qty_price
2000,ほうぼう,ほうぼう,石川県,5835157,19208,303.7878488129946,石川県,19208,5835157,303.7878488129946
2000,ぼうたら,ぼうたら,北海道,49059150,13101,3744.687428440577,北海道,13101,49059150,3744.687428440577
2000,ぼら,ぼら,三重県,1454692,6045,240.64383788254756,三重県,6045,1454692,240.64383788254756
2000,まあじ,まあじ,石川県,275606201,832504,331.0569090358725,石川県,832504,275606201,331.0569090358725
2000,まいわし,まいわし,千葉県,132372016,448143,295.3789660889493,千葉県,448143,132372016,295.3789660889493
2000,まかじき,まかじき,東京都,199355024,170039,1172.407647657302,東京都,170039,199355024,1172.407647657302
2000,まぐろ,まぐろ,東京都,603507253,168088,3590.4243788967683,東京都,168088,603507253,3590.4243788967683
2000,まこ,まこ,北海道,83134145,60125,1382.6884823284822,北海道,60125,83134145,1382.6884823284822
2000,ます,ます,北海道,7012261,16467,425.8371895305763,北海道,16467,7012261,425.8371895305763
2000,まだら,まだら,宮城県,272599382,508808,535.7608017169541,宮城県,508808,272599382,535.7608017169541
2000,みそ漬品,みそ漬品,宮城県,15748563,19353,813.7530615408464,兵庫県,22102,15715413,711.0403130938377
2000,めじ,めじ,長崎県,87343327,148036,590.014097922127,長崎県,148036,87343327,590.014097922127
2000,もずく,もずく,石川県,81972351,196056,418.1068215203819,石川県,196056,81972351,418.1068215203819
2000,やなぎばちめ,やなぎばちめ,青森県,80112828,57047,1404.3302540010868,青森県,57047,80112828,1404.3302540010868
2000,わかさぎ,わかさぎ,北海道,14858554,30128,493.1808948486458,北海道,30128,14858554,493.1808948486458
2000,わかめ,わかめ,宮城県,13444377,24286,553.5854813472782,岐阜県,34428,6109797,177.4659288950854
2000,わらさ,わらさ,石川県,344215117,820554,419.4911206331332,石川県,820554,344215117,419.4911206331332
2000,丸干あじ,丸干あじ,島根県,1481214,3017,490.95591647331787,島根県,3017,1481214,490.95591647331787
2000,丸干いか,丸干いか,福井県,31187033,19705,1582.696422227861,福井県,19705,31187033,1582.696422227861
2000,丸干いわし,丸干いわし,島根県,51201428,77106,664.0394781210282,島根県,77106,51201428,664.0394781210282
2000,冷凍あかうお,冷凍あかうお,宮城県,55193703,207357,266.17718716995324,北海道,219627,48163393,219.29632057989227
2000,冷凍あじ,冷凍あじ,石川県,153920118,1313800,117.15643020246613,石川県,1313800,153920118,117.15643020246613
2000,冷凍えび,冷凍えび,東京都,1343546198,1151007,1167.2789114227803,東京都,1151007,1343546198,1167.2789114227803
2000,冷凍おひょう,冷凍おひょう,宮城県,20414676,22706,899.0872897031621,宮城県,22706,20414676,899.0872897031621
2000,冷凍かい,冷凍かい,大阪府,189556459,598144,316.90773292050073,大阪府,598144,189556459,316.90773292050073
2000,冷凍かじき,冷凍かじき,静岡県,642235240,989239,649.2215126981447,静岡県,989239,642235240,649.2215126981447
2000,冷凍かに,冷凍かに,東京都,676176370,495438,1364.8052228533136,東京都,495438,676176370,1364.8052228533136
2000,冷凍かれい,冷凍かれい,北海道,243055506,760053,319.78757534014073,北海道,760053,243055506,319.78757534014073
2000,冷凍ぎんだら,冷凍ぎんだら,愛知県,147721425,119388,1237.3222183133983,愛知県,119388,147721425,1237.3222183133983
2000,冷凍くじら,冷凍くじら,東京都,5862010,1995,2938.3508771929824,宮城県,2579,3896798,1510.9724699495928
2000,冷凍さけ,冷凍さけ,東京都,341474484,524209,651.4090448656929,東京都,524209,341474484,651.4090448656929
2000,冷凍さば,冷凍さば,石川県,122074331,1641242,74.37923901533107,石川県,1641242,122074331,74.37923901533107
2000,冷凍さんま,冷凍さんま,長崎県,7061250,7020,1005.8760683760684,宮城県,14232,3444736,242.0415964024733
2000,冷凍しらうお,冷凍しらうお,兵庫県,7930545,7019,1129.8682148454195,兵庫県,7019,7930545,1129.8682148454195
2000,冷凍すりみ,冷凍すりみ,東京都,158372760,549110,288.417184170749,東京都,549110,158372760,288.417184170749
2000,冷凍するめいか,冷凍するめいか,石川県,229545054,1115151,205.84212720967832,石川県,1115151,229545054,205.84212720967832
2000,冷凍たい,冷凍たい,東京都,53116771,119646,443.9494090901493,東京都,119646,53116771,443.9494090901493
2000,冷凍たこ,冷凍たこ,石川県,88628553,174167,508.87110072516606,石川県,174167,88628553,508.87110072516606
2000,冷凍たら,冷凍たら,宮城県,251203884,446550,562.5436882767887,宮城県,446550,251203884,562.5436882767887
2000,冷凍にしん,冷凍にしん,東京都,9429495,27819,338.95880513318235,東京都,27819,9429495,338.95880513318235
2000,冷凍ほっけ,冷凍ほっけ,宮城県,38943690,182644,213.22184139637764,宮城県,182644,38943690,213.22184139637764
2000,冷凍まぐろ,冷凍まぐろ,静岡県,606692600,225668,2688.4299058794336,静岡県,225668,606692600,2688.4299058794336
2000,冷凍めるるーさ,冷凍メルルーサ,愛知県,31740341,51683,614.135034730956,愛知県,51683,31740341,614.135034730956
2000,冷凍めろー,冷凍メロー,愛知県,230512289,203871,1130.6771880257613,愛知県,203871,230512289,1130.6771880257613
2000,冷凍もんこういか,冷凍もんこういか,愛知県,24502672,52674,465.17583627596156,愛知県,52674,24502672,465.17583627596156
2000,冷凍やりいか,冷凍やりいか,東京都,374559419,265168,1412.5362751161529,東京都,265168,374559419,1412.5362751161529
2000,冷凍食品その他,冷凍食品　その他,大阪府,165434711,130599,1266.737961240132,大阪府,130599,165434711,1266.737961240132
2000,冷凍食品ふらい,冷凍食品　フライ,兵庫県,4385850,4707,931.7718291905672,東京都,30214,3514728,116.32779506189183
2000,冷凍食品切身,冷凍食品　切身,静岡県,180848899,144511,1251.4542076381729,静岡県,144511,180848899,1251.4542076381729
2000,冷凍食品開き,冷凍食品　開き,三重県,14512932,21638,670.7150383584435,三重県,21638,14512932,670.7150383584435
2000,塩かずのこ,塩かずのこ,北海道,506723451,167170,3031.186522701442,北海道,167170,506723451,3031.186522701442
2000,塩かれい,塩かれい,兵庫県,130826466,192771,678.6625892898828,兵庫県,192771,130826466,678.6625892898828
2000,塩くじら,塩くじら,新潟県,738045,131,5633.9312977099235,山口県,170,217728,1280.7529411764706
2000,塩くらげ,塩くらげ,大阪府,2898852,2695,1075.6408163265305,三重県,4168,1801853,432.3063819577735
2000,塩さけ,塩さけ,北海道,330107094,560948,588.4807397477128,北海道,560948,330107094,588.4807397477128
