fish_key,fish_label,latest_year,latest_qty,latest_amt,latest_price,yoy_price,yoy_qty,rank_amt
冷凍くじら,冷凍くじら,2024,1529,4087561,2673.355788096795,-0.025922245620188855,-0.04437500000000005,146.0
冷凍さけ,冷凍さけ,2024,833708,1239351019,1486.552868630264,-0.0879924474584497,0.06201593836621555,9.0
冷凍さば,冷凍さば,2024,266133,190376907,715.3449854020358,0.3736503818144161,-0.3026120634987186,58.0
冷凍さんま,冷凍さんま,2024,19907,16471880,827.4416034560708,0.0277568918969624,-0.23165695318229185,127.0
冷凍しらうお,冷凍しらうお,2024,610,1189296,1949.6655737704918,0.033857302007609835,0.073943661971831,157.0
冷凍すりみ,冷凍すりみ,2024,45462,29371606,646.0693766222339,-0.01191688938170088,-0.7286612114809576,117.0
冷凍するめいか,冷凍するめいか,2024,1142667,1528228855,1337.4227618370007,0.09063751737836578,0.05709319192711604,7.0
冷凍たい,冷凍たい,2024,28620,40514138,1415.5883298392732,-0.08817788693782369,-0.001987655612511796,104.0
冷凍たこ,冷凍たこ,2024,171857,359328922,2090.8599707896683,0.031213001193451273,0.2741096052904719,39.0
冷凍たら,冷凍たら,2024,91994,96147217,1045.1466073874383,-0.061209933280194195,0.01568900224128611,83.0
冷凍にしん,冷凍にしん,2024,22861,6270789,274.30073050172786,0.10912718831459034,-0.24814181411563507,143.0
冷凍ほっけ,冷凍ほっけ,2024,50814,40239641,791.9006769787853,0.1588511198562479,-0.2508403609128973,105.0
冷凍まぐろ,冷凍まぐろ,2024,200640,596449611,2972.7353020334926,-0.16095204410684305,-0.05507361044392323,25.0
冷凍めるるーさ,冷凍メルルーサ,2024,6918,7735738,1118.2043943336225,-0.05161004883423337,0.5237885462555065,139.0
冷凍めろー,冷凍メロー,2024,640,1295460,2024.15625,-0.029740077653149233,1.1333333333333333,155.0
冷凍もんこういか,冷凍もんこういか,2024,123688,237540244,1920.4793027617877,0.14541072082228856,0.43866750412915523,52.0
冷凍やりいか,冷凍やりいか,2024,52073,106126507,2038.0332802027922,0.12467722078867882,0.22386481150700388,79.0
冷凍食品その他,冷凍食品　その他,2024,368518,227714818,617.9204760690116,-0.05611273924823068,-0.2864345933553556,54.0
冷凍食品ふらい,冷凍食品　フライ,2024,93842,113545262,1209.9620852070502,0.35019150064869153,-0.19177669259058294,76.0
冷凍食品切身,冷凍食品　切身,2024,134657,164031871,1218.1458891851148,0.06230196100839991,-0.38105240901276904,63.0
冷凍食品開き,冷凍食品　開き,2024,16916,31776236,1878.472215653819,0.20936799724824073,-0.5437356709372894,112.0
塩かずのこ,塩かずのこ,2024,57414,285370794,4970.404326470895,-0.007106899449834225,-0.04730772421803697,47.0
塩かれい,塩かれい,2024,141887,110644096,779.8043231585699,0.08439445491406805,-0.20429016067072314,78.0
塩くらげ,塩くらげ,2024,833,1262450,1515.546218487395,-0.021250685747710163,0.1617852161785216,156.0
塩さけ,塩さけ,2024,779340,1125684063,1444.4068865963507,0.05909204338997487,-0.08449728053379069,11.0
塩さば,塩さば,2024,296193,329608471,1112.8165452931028,-0.007943277113679925,-0.021551482077319717,44.0
塩するめ,塩するめ,2024,47291,43834326,926.9063035249836,0.041591875389865196,-0.4453189143540782,103.0
塩だら,塩だら,2024,19029,19142433,1005.9610594355983,0.15489117536928143,-0.3785028414658044,124.0
塩にしん,塩にしん,2024,25,25272,1010.88,0.56,-0.16666666666666663,164.0
塩ます,塩ます,2024,26863,26004240,968.0318653910583,0.3341461822808367,-0.09298713576662054,118.0
塩まだらこ,塩まだらこ,2024,60,147744,2462.4,0.2870967741935484,0.4285714285714286,161.0
干するめ,干するめ,2024,6233,21592747,3464.2623134927003,0.05666419785907473,-0.37344189786891835,121.0
干はたはた,干はたはた,2024,43483,56436458,1297.897063220109,0.30318972900022967,0.26301266411060764,95.0
干ふぐ,干ふぐ,2024,11554,31171053,2697.8581443655876,0.13217441048914114,-0.26752884493470264,115.0
桜干いわし,桜干いわし,2024,3753,5388935,1435.900612843059,0.4024078062868941,-0.619718309859155,144.0
桜干にしん,桜干にしん,2024,7063,7251910,1026.7464250318562,0.034227519876159906,-0.08829224215825482,140.0
煮干いわし,煮干いわし,2024,2552,2666740,1044.960815047022,-0.11100969649911241,-0.31268516024777804,150.0
生くじら,生くじら,2024,970,2918883,3009.1577319587627,-0.04588860073923118,-0.3120567375886525,148.0
白皮かじき,白皮かじき,2024,31001,38570148,1244.158188445534,-0.1457060261086287,-0.26906844599533164,107.0
皮くじら,皮くじら,2024,12,11340,945.0,-0.5573770491803278,-0.6842105263157895,167.0
身欠にしん,身欠にしん,2024,77718,79664357,1025.043837978332,0.03163591758837936,-0.17518705226850628,87.0
開きあじ,開きあじ,2024,100793,93647320,929.1053942238052,0.026752269573989018,0.02849999999999997,85.0
開きさば,開きさば,2024,22646,33158207,1464.1970767464452,-0.01929990820797922,-0.2447557111889278,110.0
開きたら,開きたら,2024,722,2275668,3151.8947368421054,0.2950363720865361,-0.08259212198221089,152.0
養殖かんぱち,養殖かんぱち,2024,247761,553228097,2232.910332941827,0.0962264747177708,-0.06388356777711024,28.0
養殖たい,養殖たい,2024,522827,705276032,1348.966354071232,0.05265841058188614,0.05983673519031685,21.0
養殖ぶり,養殖ぶり,2024,937596,1176679742,1254.996546486973,-0.12624193872994793,-0.0025150006383249934,10.0
魚介つくだに,魚介つくだに,2024,39069,47828307,1224.2009521615603,0.14887052012115043,-0.11428247562910909,102.0
黒皮かじき,黒皮かじき,2024,96238,91431718,950.0583761092292,-0.032559505245807085,-0.0927790346907994,86.0
