fish_key,fish_label,year,origin_pref,qty,amt,price,rank_in_fish_year
その他かい,その他かい,2000,青森県,79202,80129447,1011.7098936895533,7
その他かい,その他かい,2000,兵庫県,43218,44959515,1040.2960571983895,8
その他かい,その他かい,2000,鳥取県,38652,40267397,1041.7933612749664,9
その他かい,その他かい,2000,大阪府,14712,33264435,2261.040986949429,10
その他かに,その他かに,2000,北海道,372508,465117709,1248.6113291526624,1
その他かに,その他かに,2000,富山県,141127,331362943,2347.9769498395062,2
その他かに,その他かに,2000,鳥取県,113483,253529758,2234.0769806931435,3
その他かに,その他かに,2000,石川県,44862,75281971,1678.0787972003031,4
その他かに,その他かに,2000,兵庫県,16724,46153671,2759.726799808658,5
その他かに,その他かに,2000,新潟県,8653,23600924,2727.4845718248007,6
その他かに,その他かに,2000,島根県,4062,15547514,3827.5514524864598,7
その他かに,その他かに,2000,青森県,5646,14122920,2501.402763018066,8
その他かに,その他かに,2000,愛知県,6065,10012800,1650.9150865622423,9
その他かに,その他かに,2000,千葉県,1206,1139355,944.7388059701492,10
その他冷凍魚,その他　冷凍魚,2000,石川県,2034075,328170566,161.33651217383823,1
その他冷凍魚,その他　冷凍魚,2000,東京都,239597,286497555,1195.7476721327896,2
その他冷凍魚,その他　冷凍魚,2000,愛知県,289289,274776309,949.8332428816858,3
その他冷凍魚,その他　冷凍魚,2000,福岡県,427446,204211812,477.7487963391867,4
その他冷凍魚,その他　冷凍魚,2000,千葉県,739016,127458772,172.47092349827338,5
その他冷凍魚,その他　冷凍魚,2000,三重県,250738,122561427,488.80276224585026,6
その他冷凍魚,その他　冷凍魚,2000,静岡県,403014,119680874,296.9645570625338,7
その他冷凍魚,その他　冷凍魚,2000,富山県,1355314,102397688,75.55274128356972,8
その他冷凍魚,その他　冷凍魚,2000,山口県,118549,65562748,553.0434503876035,9
その他冷凍魚,その他　冷凍魚,2000,長崎県,65341,49005812,750.000948868245,10
その他塩干加工品,その他塩干加工品,2000,兵庫県,202508,204274561,1008.7234133960139,1
その他塩干加工品,その他塩干加工品,2000,石川県,235798,160276166,679.7180892119526,2
その他塩干加工品,その他塩干加工品,2000,三重県,162562,149203559,917.8255619394447,3
その他塩干加工品,その他塩干加工品,2000,北海道,156673,143639382,916.8100566147326,4
その他塩干加工品,その他塩干加工品,2000,茨城県,210350,119418416,567.7129355835513,5
その他塩干加工品,その他塩干加工品,2000,愛知県,181842,105145546,578.224755557022,6
その他塩干加工品,その他塩干加工品,2000,東京都,130595,92850609,710.9813469122095,7
その他塩干加工品,その他塩干加工品,2000,大阪府,73940,88164481,1192.3786989450907,8
その他塩干加工品,その他塩干加工品,2000,山口県,124146,80238415,646.3229987273049,9
その他塩干加工品,その他塩干加工品,2000,宮城県,79706,79546646,998.0007276742027,10
その他桜干,その他桜干,2000,山口県,184252,93383914,506.8271389184378,1
その他桜干,その他桜干,2000,島根県,49640,74757936,1506.0019339242547,2
その他桜干,その他桜干,2000,静岡県,62070,59073777,951.7283228612856,3
その他桜干,その他桜干,2000,石川県,42891,29408510,685.6568977174699,4
その他桜干,その他桜干,2000,大阪府,28092,25213251,897.5242417770183,5
その他桜干,その他桜干,2000,富山県,16346,19256295,1178.043252171785,6
その他桜干,その他桜干,2000,宮城県,24318,15219500,625.8532774076815,7
その他桜干,その他桜干,2000,愛媛県,5189,8177400,1575.9105800732318,8
その他桜干,その他桜干,2000,青森県,9715,5934601,610.8698919197118,9
その他桜干,その他桜干,2000,千葉県,9662,4598121,475.89743324363485,10
その他淡水魚,その他淡水魚,2000,鹿児島県,9411,33704203,3581.36255445755,1
その他淡水魚,その他淡水魚,2000,石川県,9516,19273106,2025.3369062631357,2
その他淡水魚,その他淡水魚,2000,埼玉県,7472,14097403,1886.6974036402569,3
その他淡水魚,その他淡水魚,2000,東京都,3844,6873251,1788.046566077003,4
その他淡水魚,その他淡水魚,2000,茨城県,7178,6663775,928.3609640568403,5
その他淡水魚,その他淡水魚,2000,青森県,8530,6347822,744.1760844079719,6
その他淡水魚,その他淡水魚,2000,熊本県,2542,4515501,1776.357592446892,7
その他淡水魚,その他淡水魚,2000,富山県,4892,4413361,902.1588307440719,8
その他淡水魚,その他淡水魚,2000,宮崎県,9708,3340177,344.06437989287184,9
その他淡水魚,その他淡水魚,2000,島根県,3427,2484978,725.1175955646338,10
その他魚介漬物,その他魚介漬物,2000,宮城県,86895,49979176,575.1674549743943,1
その他魚介漬物,その他魚介漬物,2000,北海道,43418,42432339,977.2983324888295,2
その他魚介漬物,その他魚介漬物,2000,富山県,30634,28548371,931.9178363909382,3
その他魚介漬物,その他魚介漬物,2000,新潟県,14704,14754179,1003.4126088139282,4
その他魚介漬物,その他魚介漬物,2000,福井県,6248,13041656,2087.3329065300895,5
その他魚介漬物,その他魚介漬物,2000,石川県,9127,12470717,1366.3544428618386,6
その他魚介漬物,その他魚介漬物,2000,兵庫県,13113,11336175,864.4989704873027,7
その他魚介漬物,その他魚介漬物,2000,岩手県,6376,7146320,1120.8155583437892,8
その他魚介漬物,その他魚介漬物,2000,愛知県,8529,6092186,714.2907726579904,9
その他魚介漬物,その他魚介漬物,2000,大阪府,2730,4418409,1618.4648351648352,10
その他鮮魚,その他鮮魚,2000,長崎県,53698,122940521,2289.4804461991134,1
その他鮮魚,その他鮮魚,2000,石川県,98304,100558404,1022.9329833984375,2
その他鮮魚,その他鮮魚,2000,高知県,21848,50602871,2316.1328725741487,3
その他鮮魚,その他鮮魚,2000,千葉県,68646,41835763,609.4421087900242,4
その他鮮魚,その他鮮魚,2000,大阪府,29284,37043362,1264.9693347903292,5
その他鮮魚,その他鮮魚,2000,新潟県,26689,31816194,1192.1088838098092,6
その他鮮魚,その他鮮魚,2000,富山県,56060,28988079,517.0902425972173,7
その他鮮魚,その他鮮魚,2000,宮崎県,8210,24840242,3025.6080389768576,8
その他鮮魚,その他鮮魚,2000,宮城県,18548,22990895,1239.5349902954497,9
その他鮮魚,その他鮮魚,2000,東京都,12221,21378581,1749.3315604287702,10
たい,たい,2000,石川県,401508,414447082,1032.2262121800811,1
たい,たい,2000,長崎県,355630,370922947,1043.0024098079464,2
たい,たい,2000,三重県,236043,267586565,1133.634825010697,3
たい,たい,2000,愛媛県,145685,161456963,1108.260720046676,4
たい,たい,2000,高知県,99450,121273816,1219.4451080945198,5
たい,たい,2000,東京都,78087,87330556,1118.3750944459384,6
たい,たい,2000,鹿児島県,64089,72936110,1138.0441261370906,7
たい,たい,2000,千葉県,126520,71175751,562.565214985773,8
たい,たい,2000,福井県,66265,66216401,999.2665962423603,9
たい,たい,2000,青森県,61184,45548766,744.4555112447699,10
たいはくちりめん,たいはくちりめん,2000,茨城県,35876,47544138,1325.2351990188426,1
たいはくちりめん,たいはくちりめん,2000,東京都,26065,24518763,940.6776520237867,2
たいはくちりめん,たいはくちりめん,2000,静岡県,17902,19877382,1110.344207351134,3
たいはくちりめん,たいはくちりめん,2000,福岡県,8647,11104065,1284.152307158552,4
たいはくちりめん,たいはくちりめん,2000,大阪府,7624,9991696,1310.5582371458552,5
たいはくちりめん,たいはくちりめん,2000,兵庫県,7339,8494344,1157.4252622973156,6
たいはくちりめん,たいはくちりめん,2000,和歌山県,8788,7135402,811.9483386436049,7
たいはくちりめん,たいはくちりめん,2000,愛知県,6584,6456411,980.6213547995139,8
たいはくちりめん,たいはくちりめん,2000,広島県,5254,4623733,880.0405405405405,9
たいはくちりめん,たいはくちりめん,2000,石川県,2895,3405910,1176.4801381692573,10
たこ,たこ,2000,茨城県,121081,91198003,753.1982970077881,1
たこ,たこ,2000,静岡県,100505,74500289,741.259529376648,2
たこ,たこ,2000,北海道,51445,71661468,1392.9724560209934,3
たこ,たこ,2000,愛知県,94416,69386075,734.8974220471107,4
たこ,たこ,2000,石川県,96329,63630505,660.5539868575403,5
たこ,たこ,2000,三重県,79785,59437727,744.9737043303879,6
たこ,たこ,2000,宮城県,18803,32656718,1736.7823219698985,7
たこ,たこ,2000,福島県,29323,30626371,1044.4487603587627,8
たこ,たこ,2000,大阪府,17296,12815809,740.9695305272895,9
たこ,たこ,2000,東京都,17975,9254531,514.8556884561891,10
たちうお,たちうお,2000,静岡県,52109,36331158,697.2146462223417,1
たちうお,たちうお,2000,和歌山県,33893,25480560,751.7941757885109,2
たちうお,たちうお,2000,三重県,23174,12907440,556.979373435747,3
