fish_key,fish_label,year,category,qty,amt,price
かます,かます,2003,鮮魚,242129,159115882,657.1533438786762
かまぼこ,かまぼこ,2003,塩干,172586,131966423,764.641529440395
かれい,かれい,2003,鮮魚,1943215,1095195972,563.5999989707778
かわはぎ,かわはぎ,2003,鮮魚,645204,402699307,624.1426076093762
かんぱち,かんぱち,2003,鮮魚,829299,1090072420,1314.4504213799848
きす,きす,2003,鮮魚,38604,43277029,1121.0503833799605
こうばこがに,こうばこがに,2003,鮮魚,481118,792485213,1647.1743169035456
このわた,このわた,2003,鮮魚,4851,36985363,7624.2760255617395
こんぶ,こんぶ,2003,塩干,26335,25105904,953.3284222517563
さけ,さけ,2003,鮮魚,1115642,678057872,607.7737051849966
さば,さば,2003,鮮魚,1970507,795560911,403.7341207110657
さめ,さめ,2003,鮮魚,883,224703,254.47678369195924
さより,さより,2003,鮮魚,107513,144144888,1340.720545422414
さわら,さわら,2003,鮮魚,91660,86444769,943.1024329042112
さんま,さんま,2003,鮮魚,1215114,403836167,332.34426317201513
しいら,しいら,2003,鮮魚,80879,8238057,101.85656350845089
しおから,しおから,2003,塩干,125458,111830076,891.3746114237434
しじみ,しじみ,2003,鮮魚,390056,276636456,709.2224090899768
しらうお,しらうお,2003,鮮魚,6127,16911426,2760.147870083238
しらこ,しらこ,2003,鮮魚,312959,418490699,1337.2061484092164
すき身,すき身,2003,塩干,77692,71081265,914.9109946970087
すけこ,すけこ,2003,塩干,586684,1362729927,2322.7664756495833
すけそうだら,すけそうだら,2003,鮮魚,406638,127597095,313.78546766411404
すじこ,すじこ,2003,塩干,36412,73572410,2020.5539382621114
すずき,すずき,2003,鮮魚,344087,204998057,595.7739089241965
すだこ,すだこ,2003,塩干,73637,96702611,1313.233985632223
するめいか,するめいか,2003,鮮魚,1689069,567633525,336.0629583516126
ずわいがに,ずわいがに,2003,鮮魚,2433765,3175081816,1304.5967116792294
その他あじ,その他あじ,2003,鮮魚,97818,60083589,614.2385757222597
その他いか,その他いか,2003,鮮魚,1465867,1401453749,956.0579158955076
その他えび,その他えび,2003,鮮魚,235731,539232789,2287.49205238174
その他かい,その他かい,2003,鮮魚,1521552,1230234426,808.5391928767469
その他かに,その他かに,2003,鮮魚,631825,1228436657,1944.2672527994303
その他冷凍魚,その他　冷凍魚,2003,冷凍魚,5848605,1203543791,205.78305271086012
その他塩干加工品,その他塩干加工品,2003,塩干,2701045,2084100863,771.5905743888013
その他桜干,その他桜干,2003,塩干,338388,293630185,867.7322629644077
その他淡水魚,その他淡水魚,2003,鮮魚,65398,90390442,1382.1591180158414
その他魚介漬物,その他魚介漬物,2003,塩干,362795,293570984,809.1924750892377
その他鮮魚,その他鮮魚,2003,鮮魚,844755,926908869,1097.2517108510751
たい,たい,2003,鮮魚,1696821,1469697599,866.1476956025415
たいはくちりめん,たいはくちりめん,2003,塩干,233081,288819612,1239.1383767874688
たこ,たこ,2003,鮮魚,573052,595461649,1039.1057862113735
たちうお,たちうお,2003,鮮魚,94809,66435478,700.729656467213
たづくり,たづくり,2003,塩干,14918,13325239,893.2322697412521
ちくわ,ちくわ,2003,塩干,203274,129143497,635.3173401418775
つばす,つばす,2003,鮮魚,169498,66208309,390.6141016413173
とびうお,とびうお,2003,鮮魚,183081,63505140,346.86909073033246
どじょう,どじょう,2003,鮮魚,41880,59767692,1427.11776504298
なまこ,なまこ,2003,鮮魚,60916,82643347,1356.6771784096131
にぎす,にぎす,2003,鮮魚,249077,95991159,385.38748660052914
にしん,にしん,2003,鮮魚,23635,6924646,292.98269515548975
ぬか漬いわし,ぬか漬いわし,2003,塩干,265,464969,1754.6
ぬか漬にしん,ぬか漬にしん,2003,塩干,319,324240,1016.4263322884012
ぬか漬ふぐ,ぬか漬ふぐ,2003,塩干,129,467358,3622.9302325581393
はたはた,はたはた,2003,鮮魚,1228129,283713946,231.01314764165653
はまぐり,はまぐり,2003,鮮魚,633956,269780754,425.5512275299863
はまち,はまち,2003,鮮魚,1793488,681335821,379.89427361655055
はむそーせーじ,ハムソーセージ,2003,塩干,6156,5867548,953.1429499675114
ばいがい,ばいがい,2003,鮮魚,681745,552985851,811.1329764061343
ひらまさ,ひらまさ,2003,鮮魚,317624,273124661,859.8993180616075
ひらめ,ひらめ,2003,鮮魚,407341,858885243,2108.516557380671
ふぐ,ふぐ,2003,鮮魚,298005,191557563,642.7998288619318
ぶり,ぶり,2003,鮮魚,811719,759532462,935.7086159126495
べにずわいがに,べにずわいがに,2003,鮮魚,118461,44883396,378.8875326056677
ほうぼう,ほうぼう,2003,鮮魚,24552,10248677,417.42737862495926
ぼうたら,ぼうたら,2003,塩干,13098,52810086,4031.9198350893266
ぼら,ぼら,2003,鮮魚,19613,3434436,175.11018202212819
まあじ,まあじ,2003,鮮魚,1695451,839267662,495.01145241000773
まいわし,まいわし,2003,鮮魚,909207,429556487,472.4518036046797
まかじき,まかじき,2003,鮮魚,581816,684035932,1175.6911669668762
まぐろ,まぐろ,2003,鮮魚,607225,1546682882,2547.1330758779695
まこ,まこ,2003,鮮魚,203743,290141780,1424.0576608766928
ます,ます,2003,鮮魚,32011,31190050,974.3541282684077
まだら,まだら,2003,鮮魚,1828363,951930942,520.646579481208
みそ漬品,みそ漬品,2003,塩干,78886,57306405,726.4458205511751
めじ,めじ,2003,鮮魚,339856,259112347,762.4180447012852
もずく,もずく,2003,鮮魚,444935,213491354,479.8259386202479
やなぎばちめ,やなぎばちめ,2003,鮮魚,159234,209007679,1312.5819799791502
わかさぎ,わかさぎ,2003,鮮魚,58077,33537446,577.465192761334
わかめ,わかめ,2003,塩干,139343,49887820,358.0217161967232
わらさ,わらさ,2003,鮮魚,936770,493696351,527.0198138283677
丸干あじ,丸干あじ,2003,塩干,4983,2577969,517.3527995183624
丸干いか,丸干いか,2003,塩干,67176,75333069,1121.4283226152197
丸干いわし,丸干いわし,2003,塩干,263617,169153253,641.6629162762645
冷凍あかうお,冷凍あかうお,2003,冷凍魚,879392,319823934,363.687563680361
冷凍あじ,冷凍あじ,2003,冷凍魚,1592574,150213664,94.32130877434895
冷凍うなぎ,冷凍うなぎ,2003,冷凍魚,375656,496396035,1321.411171390847
冷凍えび,冷凍えび,2003,冷凍魚,2551124,3175809392,1244.8667301158234
冷凍おひょう,冷凍おひょう,2003,冷凍魚,16638,20382427,1225.0527106623392
冷凍かい,冷凍かい,2003,冷凍魚,1016220,637379016,627.2057389148019
冷凍かじき,冷凍かじき,2003,冷凍魚,1323890,815822646,616.2314437000053
冷凍かに,冷凍かに,2003,冷凍魚,2784264,4240570327,1523.0489375289126
