year,category,qty,amt,price,share_amt,share_qty
2012,塩干,9070609,8541185548,941.6330863782134,0.18723014699443677,0.16176123725520275
2012,鮮魚,33179665,25413095286,765.923805620099,0.5570769466652744,0.5917115005302452
2013,冷凍魚,14259223,13474646712,944.9776269015499,0.2874125480535958,0.25880444525393304
2013,塩干,7949861,7975267797,1003.1958793996524,0.17011147586557648,0.1442897250397779
2013,鮮魚,32887431,25432682661,773.3253065890127,0.5424759760808276,0.596905829706289
2014,冷凍魚,13846280,14520758163,1048.7118679529808,0.2965477407716965,0.2661317845030402
2014,塩干,7333164,7914266950,1079.243141159805,0.16162778537740768,0.14094673958445533
2014,鮮魚,30848464,26530979906,860.0421695550223,0.5418244738508958,0.5929214759125045
2015,冷凍魚,14081929,14964308386,1062.6604058293435,0.28671626557074986,0.26342085221321676
2015,塩干,7283823,8738581049,1199.724519527726,0.16743128116102204,0.1362534111647793
2015,鮮魚,32092161,28489156092,887.7294393481324,0.5458524532682281,0.600325736622004
2016,冷凍魚,13000904,14107828310,1085.1421031952855,0.2717728714140094,0.25524308927815814
2016,塩干,7958998,9228188701,1159.4661414665513,0.17777160921666246,0.15625676776620165
2016,鮮魚,29975479,28574345626,953.2573483146008,0.5504555193693281,0.5885001429556402
2017,冷凍魚,12602710,14648795079,1162.352785948419,0.2843599335202777,0.26533497432288705
2017,塩干,7946067,9387756526,1181.4343531208583,0.1822335425706663,0.16729492969471965
2017,鮮魚,26948580,27478424143,1019.661301003615,0.533406523909056,0.5673700959823933
2018,冷凍魚,12906762,15588595271,1207.785133947616,0.30070298551079266,0.2741079079965018
2018,塩干,7097400,8979610385,1265.197168681489,0.17321609834315765,0.15073133495561258
2018,鮮魚,27082265,27272301496,1007.0170089540147,0.5260809161460497,0.5751607570478856
2019,冷凍魚,13410566,15234723734,1136.0239183044175,0.3060955180602326,0.29893300578851195
2019,塩干,6360479,8398609981,1320.4367125494794,0.16874456787048392,0.14178052631967278
2019,鮮魚,25090398,26137809066,1041.7454942723507,0.5251599140692835,0.5592864678918152
2020,冷凍魚,13360252,14583245504,1091.5397032930218,0.33348856475690825,0.320044763260934
2020,塩干,5686297,7133235145,1254.4605294095613,0.16312228645722912,0.13621521339540296
2020,鮮魚,22698399,22012891345,969.7992948753787,0.5033891487858626,0.543740023343663
2021,冷凍魚,12186754,17426379457,1429.9443032164265,0.37610546634479664,0.30898366787928366
2021,塩干,5655661,7239393136,1280.0260015584386,0.15624446478897763,0.14339395708338884
2021,鮮魚,21599003,21667984867,1003.193752369033,0.46765006886622573,0.5476223750373275
2022,冷凍魚,11411875,16970805170,1487.1180388849334,0.3365436007716107,0.29981192454303796
2022,塩干,5637449,7641455576,1355.4811007602907,0.15153570787727938,0.14810663753355385
2022,鮮魚,21014122,25814504556,1228.4360277341113,0.5119206913511098,0.5520814379234082
2023,冷凍魚,9913104,14923470019,1505.4285740369514,0.29607017719471657,0.2766046255297336
2023,塩干,4982690,7227884318,1450.5988367729078,0.14339567058121572,0.1390316394926098
2023,鮮魚,20942739,28253823788,1349.09878731717,0.5605341522240678,0.5843637349776566
2024,冷凍魚,10165652,16513169208,1624.4082728781193,0.3320821187159805,0.3071530155702541
2024,塩干,4710434,6879743366,1460.532801436131,0.13835259146358594,0.1423247626167662
2024,鮮魚,18220291,26333249352,1445.2705147244903,0.5295652898204336,0.5505222218129797
